75779353fd944fbd8a06f4452be2d1ee,American Sterling,9879020.00
b12bdd0c8a49415d829732bd9cc8691b,Club for Growth,9845656.56
bfe12136b1e042cbbec042cfcd33901c,GlaxoSmithKline,9587036.25
e08e4fb19d6e45358bd544c674ba573f,National Air Traffic Controllers Assn,9566018.00
86f2c81bb55f484691d515ed0ab717e0,Human Rights Campaign,9445452.14
45e450fe4bc04bc59082d31b5a2f0cd4,HOUSE REPUBLICAN CAMPAIGN CMTE,9429981.46
19b314680bef477c9d44e886869fdbd3,ILLINOIS SENATE DEMOCRATIC FUND,9344563.40
3924814cef584f3097e052d6f1ffb2f9,United Steelworkers of America,9330219.00
0bf8159bdec44c6d979ed529576a7c78,American Society of Anesthesiologists,9301786.00
204b089d9d614fa6b77db666d76d9f3c,Walt Disney Co,9291440.14
4997d3100fc1431fa75780d53046cfcc,Pederson Group,9270098.09
9526c33823d143c2a50fd44bee1c090d,National Restaurant Assn,9186610.00
3e773ca970714f0e8dca350dbce74f14,American Optometric Assn,9178369.10
793070ae7f5e42c2a76a58663a588f3d,Wells Fargo,9156282.95
9cc237ee4a5a4557be128cba67d5fea8,SENATE REPUBLICAN CAMPAIGN CMTE OF NEW YORK,9141744.42
0e85264c0c0e4dfb9a4b38cfc181f030,University of California,9132899.00
4438cca4c4ae4715b1bf348629b68cc0,General Dynamics,9119643.40
7b0fdf57a02747d0b4fa4915ce60e71c,REPUBLICAN STATE SENATE CAMPAIGN CMTE OF ILLINOIS,9095814.96
f7662b0e9e4d463e9f747a8bb2b4e5e7,Lehman Brothers,8923680.00
2f953fbb2e43400e823fa4992e35e8f5,REPUBLICAN STATE LEADERSHIP CMTE,8908001.21
a280dccfdac6477a9b2a03314511d193,Raytheon Co,8889983.31
a057bd80e7ae49e7ac2aa7d246c08371,American Nurses Assn,8831771.80
118654aa3f40449e94096a82882b19a0,KPMG LLP,8808820.00
c3116feab1334595bc03c73e7e4ae77e,American Maritime Officers,8732867.41
f4b3fc320fc64c96910ea583311b22ac,Exelon Corp,8626728.46
76cedde238b8478089c2c4341b6ea64d,National Cmte for an Effective Congress,8585940.00
baa80090b9024a238a772b059ae3e46b,Democratic Party of Indiana,8521347.08
b2f3d10ddb554a4f8ddaaa8a39b86393,American International Group,8515935.95
0687fd2402df47768abfb6673b2922a2,Burlington Northern Santa Fe Corp,8497413.23
da81ad7f62ca49f1b4079398989a8d8a,Dominion Resources,8331617.04
d2e2d5768b7d4b529d44a52207545327,National Assn Retired Federal Employees,8291000.00
c90696b5ec644da6b28369b6b7302d3a,MBNA Corp,8244010.07
00b3c4b8c7544003804726b54df663c3,Republican National Cmte,8236451.91
36c8727519844d64ac27cdd78dc4600f,Merck & Co,8174656.94
92efc1b79891416a816a433afc908dc3,American Academy of Ophthalmology,8150203.91
6e896305d9d84c10a0fe9a6c25a47400,American Financial Group,8065803.00
4817360e882848e6b6e236075db116a5,American Crystal Sugar,8031097.00
1625afe704a141cabff04f1b931aabd8,Wachovia Corp,8027441.07
3e96838b34c64857a0fa961ca4ec83f0,Natl Assn/Insurance & Financial Advisors,7988464.72
3c5689e60b4548969bee8f475db1acb0,Zurich Financial Services,7944651.79
cc4c4f82b0db4e82a9bafcb4294c5d39,Johnson & Johnson,7899890.94
cbd37e723d4647029c7add1e3ee6d7b9,"Skadden, Arps et al",7885313.00
24624d41234e41f180b9d65cdc77a678,National Cable & Telecommunications Assn,7867454.54
b867a6770f8348babbbd683614605a30,RJ Reynolds Tobacco,7831879.99
57e9c608f70942f49a9f85ee50147a76,ILLINOIS STATE MEDICAL SOCIETY,7798568.58
38dadf9e22d347689cbf730fd6cf511c,Waste Management Inc,7742271.42
895c7a13d93c4d61a935032ba1961086,Ford Motor Co,7731227.19
819555dfc3d449d2be54286f0cb385e2,Exxon Mobil,7688153.27
ad060fd499a245368a7744522b79b2c2,Chevron Corp,7662525.16
7fba6adf0cc24190a4e7ec79f908a75f,Bear Stearns,7589951.62
6227f5d2e2974ae88d865b8b1dc64741,John Templeton Foundation,7533803.00
f6e2b1c4e633490daa70d04e9a3c0b4c,Farmers Insurance,7528755.92
6bff9730496f42f0aad45a75b2033c75,National Republican Senatorial Cmte,7526284.00
b01222ad124a44aca08a8193253c2011,Amalgamated Transit Union,7512009.07
6d8e5771046e4775a3d4879c20a782f2,WPP Group,7273651.00
b4356141c8e24569aa1bba2c65882cc2,Texas Democratic Party,7238538.52
c787c98bc77e4319b711ab3b5a0bb6dd,HOUSE DEMOCRATIC CAMPAIGN CMTE OF PENNSYLVANIA,7205622.29
48fda17a34a04c33a053a208e96f3743,Seafarers International Union,7180812.48
d431418046fd443d9d9727ffd5136321,Transport Workers Union,7173380.90
d958530f0e2a4979a35af270dfb309a3,General Motors,7158531.33
a20ff25c74df4e67baba5850bdea4589,Greenberg Traurig LLP,7148609.20
52a1620b2ff543ebb74718fbff742529,Patton Boggs LLP,7131276.45
0e4bbc918bea4ae2a01b1a0433cd59f7,American Assn for Justice,7097690.00
ec3978566d134a1fbcec714cd2188a14,Painters & Allied Trades Union,7070931.16
1597c4561f834ae9ad72eb0106a495b2,ILLINOIS REPUBLICAN PARTY,7027517.88
f217d96dc1e94e0f9d08f08a50a2229b,Holland & Knight,6972941.48
13edae155bf04a99ade5a4091c776976,Natl Cmte to Preserve Social Security,6945854.00
2d625ce311ff4aa091ae66f440c2a62f,Honeywell International,6944177.58
db83bb40df0643118df6074d93fc1c58,Newsweb Corp,6925250.00
4b5cfd07a47e42068d889657da262a18,Boilermakers Union,6893037.23
cc28b8a08cb84a21ab5c746ceb4a9d8c,ENTERPRISE RENT-A-CAR,6867331.89
ecf67d04199a417a974986500d9b6dea,MASSACHUSETTS DEMOCRATIC PARTY,6863016.53
00c71f05c278418681b3a37abed69abd,UBS AG,6836269.07
1b551ba1555546158f114e9f7edb7645,American Electric Power,6834406.48
8071a0f792374404aef44ba478c2523a,INDIANA REPUBLICAN PARTY,6812921.25
2610cc578c07462baa94d8233eabd5f4,American College of Emergency Physicians,6798403.59
1a61b00cd94743a4858898a3d4437047,Blue Cross/Blue Shield,6790720.15
10bfbd14ac704f69b6a313e1a09f7db5,National Rural Letter Carriers Assn,6704679.00
2edad4cc65cc4970be8b878bd41163be,Credit Suisse First Boston,6671488.00
821ec05b075e4043846bab0181323058,Aircraft Owners & Pilots Assn,6653616.00
386d67c333ba4ed28684fa91c10d9879,MISSOURI DEMOCRATIC PARTY,6646727.19
86999e645e074be59bcde7b936f6c8a7,Edison International,6607151.67
09c846dc59b04eae8a7a4ec8e0aac34e,Baron & Budd,6590987.61
436269aca0644b73bf5bec64c65b44ae,PepsiCo Inc,6576121.87
bfa6713b84fd486c845ea349c0e091af,Nationwide,6569766.68
9e7efe55a93b40b68f328394e3e9912e,BellSouth Corp,6529073.22
8e0c644e870d4744aef6bce23d1bcbe9,Indiana House Republican Campaign Cmte,6502923.64
8900b819357d4837b8802c6e1a4ce0d7,Vinson & Elkins,6476560.10
70655bf0ab1142ada863ffe94122c9a0,CHICAGO MERCANTILE EXCHANGE,6468966.00
3b7af8df5a7346ca803ff7261211429a,DEMOCRATIC ASSEMBLY CAMPAIGN CMTE OF NEW YORK,6455449.19
7d08c702fa7b45949e6715170572ce4f,Norfolk Southern,6436645.98
